Date,Open,High,Low,Close,Volume,Adj Close
2015-01-20,13.48,13.48,12.43,13.18,6877600,13.18
2015-01-16,13.20,14.17,13.11,13.68,6848500,13.68
2015-01-15,13.76,14.08,12.96,13.02,7179000,13.02
2015-01-14,12.90,13.52,12.42,13.42,15220800,13.42
2015-01-13,13.34,13.86,13.07,13.10,8144100,13.10
2015-01-12,14.81,14.88,13.27,13.36,8892600,13.36
2015-01-09,15.13,15.48,14.72,15.33,8604200,15.33
2015-01-08,14.99,15.47,14.72,15.05,10270300,15.05
2015-01-07,15.00,15.52,14.60,14.76,8810900,14.76
2015-01-06,14.79,15.57,14.47,14.76,7036900,14.76
2015-01-05,16.26,16.309999,14.78,15.43,9760200,15.43
2015-01-02,16.32,17.139999,15.77,17.040001,6835000,17.040001
2014-12-31,15.94,16.75,15.17,16.540001,7147300,16.540001
2014-12-30,16.42,16.73,15.92,16.309999,7208300,16.309999
2014-12-29,16.700001,17.040001,16.209999,16.34,8147000,16.34
2014-12-26,16.940001,17.27,16.27,16.620001,4795600,16.620001
2014-12-24,17.200001,17.40,16.059999,16.66,4728300,16.66
2014-12-23,17.559999,17.75,16.549999,17.709999,5561700,17.709999
2014-12-22,16.719999,17.639999,15.85,17.299999,7655100,17.299999
2014-12-19,16.52,17.24,16.059999,17.16,10843300,17.16
2014-12-18,16.24,16.799999,15.30,16.25,14767400,16.25
2014-12-17,14.09,16.34,13.65,15.65,15310100,15.65
2014-12-16,11.95,14.76,11.74,14.23,16508100,14.23
2014-12-15,12.53,12.65,11.58,12.22,14877500,12.22
2014-12-12,10.83,12.51,10.64,12.33,14888900,12.33
2014-12-11,11.20,11.87,11.00,11.05,12057500,11.05
2014-12-10,12.19,12.19,11.01,11.14,12513100,11.14
2014-12-09,11.97,13.17,11.97,12.66,8643100,12.66
2014-12-08,13.63,13.63,11.87,12.03,9742300,12.03
2014-12-05,14.75,14.92,13.87,14.24,8975000,14.24
2014-12-04,15.52,15.52,14.80,15.01,5970900,15.01
2014-12-03,16.09,16.959999,15.60,15.82,7269000,15.82
2014-12-02,16.77,17.34,15.67,15.75,6977400,15.75
2014-12-01,18.299999,18.360001,16.209999,17.09,8688700,17.09
2014-11-28,22.33,22.469999,17.24,18.379999,9587300,18.379999
2014-11-26,25.93,25.93,25.129999,25.24,2175900,25.24
2014-11-25,27.52,27.780001,25.969999,26.190001,3109600,26.190001
2014-11-24,27.40,27.540001,26.799999,27.360001,2910200,27.360001
2014-11-21,27.66,28.42,27.200001,27.49,3297000,27.49
2014-11-20,25.879999,27.110001,25.799999,27.09,2600400,27.09
2014-11-19,26.219999,26.290001,25.32,25.85,2880300,25.85
2014-11-18,25.51,26.459999,24.950001,26.299999,3070800,26.299999
2014-11-17,26.24,26.27,25.15,25.49,1963800,25.49
2014-11-14,25.84,26.77,25.700001,26.549999,2612000,26.549999
2014-11-13,26.120001,26.18,25.129999,25.719999,3854200,25.719999
2014-11-12,26.059999,26.92,25.93,26.370001,2134600,26.370001
2014-11-11,26.82,27.290001,25.93,26.620001,2351400,26.620001
2014-11-10,28.00,28.459999,26.07,26.58,4112400,26.58
2014-11-07,26.299999,28.379999,26.25,27.75,3674600,27.75
2014-11-06,25.90,26.35,25.030001,26.129999,4899100,26.129999
2014-11-05,24.620001,26.309999,24.10,26.110001,10209500,26.110001
2014-11-04,28.49,28.530001,26.33,26.92,6987700,26.92
2014-11-03,30.139999,30.74,28.950001,29.02,6177900,29.02
2014-10-31,29.459999,29.98,28.309999,29.959999,2440900,29.959999
2014-10-30,29.85,30.16,29.02,29.370001,2572100,29.370001
2014-10-29,30.139999,31.049999,29.76,30.129999,3820900,30.129999
2014-10-28,29.48,30.01,28.879999,29.65,2868400,29.65
2014-10-27,29.90,29.950001,28.610001,29.209999,2808200,29.209999
2014-10-24,30.940001,30.969999,29.90,30.440001,2348300,30.440001
2014-10-23,30.690001,31.309999,30.120001,30.93,2931500,30.93
2014-10-22,31.76,31.860001,30.209999,30.24,3987400,30.24
2014-10-21,31.280001,31.719999,30.879999,31.540001,3213300,31.540001
